Dept.,Course,Start Date,Start Time,Duration (Mins),End Date,End Time,Location,Availability
CIVE,CIVE 3204 A,Dec-19-2024,09:00,180,Dec-19-2024,12:00,FH,Fixed Duration
CIVE,CIVE 3204 B,Dec-19-2024,09:00,180,Dec-19-2024,12:00,FH,Fixed Duration
CIVE,CIVE 3208 A,Dec-9-2024,14:00,150,Dec-9-2024,16:30,NN 231,Fixed Duration
CIVE,CIVE 3208 B,Dec-9-2024,14:00,150,Dec-9-2024,16:30,NN 231,Fixed Duration
CIVE,CIVE 3304 A,Dec-16-2024,09:00,180,Dec-16-2024,12:00,AH,Fixed Duration
CIVE,CIVE 4200 A,Dec-19-2024,09:00,180,Dec-19-2024,12:00,TB 236,Fixed Duration
CIVE,CIVE 4201 A,Dec-9-2024,09:00,180,Dec-9-2024,12:00,TB 340,Fixed Duration
CIVE,CIVE 4208 A,Dec-11-2024,19:00,180,Dec-11-2024,22:00,AT 101,Fixed Duration
CIVE,CIVE 4302 A,Dec-13-2024,14:00,180,Dec-13-2024,17:00,TB 210,Fixed Duration
CIVE,CIVE 4303 A,Dec-19-2024,14:00,180,Dec-19-2024,17:00,AT 301,Fixed Duration
CIVE,CIVE 4400 A,Dec-17-2024,09:00,180,Dec-17-2024,12:00,AH,Fixed Duration
CIVE,CIVE 4403 A,Dec-16-2024,09:00,180,Dec-16-2024,12:00,TB 238,Fixed Duration
CIVE,CIVE 4407 A,Dec-10-2024,09:00,180,Dec-10-2024,12:00,FH,Fixed Duration
CIVE,CIVE 5101 F,Dec-9-2024,19:00,180,Dec-9-2024,22:00,TB 230,Fixed Duration
CIVE,CIVE 5103 F,Dec-9-2024,09:00,180,Dec-9-2024,12:00,TB 340,Fixed Duration
CIVE,CIVE 5200 F,Dec-16-2024,09:00,180,Dec-16-2024,12:00,TB 238,Fixed Duration
CIVE,CIVE 5403 F,Dec-20-2024,19:00,180,Dec-20-2024,22:00,TB 206,Fixed Duration
CIVE,CIVE 5609 F,Dec-18-2024,19:00,180,Dec-18-2024,22:00,NN 282,Fixed Duration
CIVE,CIVE 5616 F,Dec-14-2024,09:00,180,Dec-14-2024,12:00,TB 230,Fixed Duration
CIVE,ECOR 1046 A,Dec-14-2024,09:00,120,Dec-14-2024,11:00,FH,Fixed Duration
CIVE,ECOR 1046 B,Dec-14-2024,09:00,120,Dec-14-2024,11:00,FH,Fixed Duration
CIVE,ECOR 1046 C,Dec-14-2024,09:00,120,Dec-14-2024,11:00,FH,Fixed Duration
CIVE,ECOR 2050 A,Dec-17-2024,14:00,120,Dec-17-2024,16:00,AH,Fixed Duration
CIVE,ECOR 2050 B,Dec-17-2024,14:00,120,Dec-17-2024,16:00,AH,Fixed Duration
CIVE,ECOR 3800 A,Dec-12-2024,14:00,150,Dec-12-2024,16:30,FH,Fixed Duration
CIVE,ECOR 3800 B,Dec-12-2024,14:00,150,Dec-12-2024,16:30,FH,Fixed Duration
CIVE,EGEN 5400 F,Dec-20-2024,19:00,180,Dec-20-2024,22:00,TB 215,Fixed Duration
CIVE,ENVE 1001 A,Dec-14-2024,19:00,180,Dec-14-2024,22:00,AH,Fixed Duration
CIVE,ENVE 3002 A,Dec-18-2024,14:00,120,Dec-18-2024,16:00,TB 202,Fixed Duration
CIVE,ENVE 3003 A,Dec-20-2024,09:00,180,Dec-20-2024,12:00,TB 236,Fixed Duration
CIVE,ENVE 4003 A,Dec-10-2024,14:00,180,Dec-10-2024,17:00,NI 4020,Fixed Duration
CIVE,ENVE 4005 A,Dec-13-2024,09:00,180,Dec-13-2024,12:00,TB 342,Fixed Duration
CIVE,ENVE 4006 A,Dec-18-2024,14:00,180,Dec-18-2024,17:00,TB 210,Fixed Duration
CIVE,ENVE 4101 A,Dec-9-2024,14:00,180,Dec-9-2024,17:00,TB 210,Fixed Duration
CIVE,ENVE 4105 A,Dec-15-2024,09:00,180,Dec-15-2024,12:00,AT 101,Fixed Duration
CIVE,ENVE 5008 F,Dec-13-2024,09:00,180,Dec-13-2024,12:00,TB 342,Fixed Duration
CIVE,ENVE 5101 F,Dec-10-2024,14:00,180,Dec-10-2024,17:00,NI 4020,Fixed Duration
CIVE,ENVE 5204 F,Dec-15-2024,19:00,180,Dec-15-2024,22:00,TB 230,Fixed Duration
CIVE,ENVE 5301 F,Dec-18-2024,14:00,180,Dec-18-2024,17:00,TB 210,Fixed Duration
CIVE,ENVE 5705 F,Dec-10-2024,14:00,150,Dec-10-2024,16:30,TB 206,Fixed Duration
COGS,CGSC 1005 A,Dec-19-2024,09:00,180,Dec-19-2024,12:00,AH,Fixed Duration
COGS,CGSC 3601 A,Dec-14-2024,10:00,180,Dec-17-2024,10:00,ON LINE,Fixed Within Range
COMM,COMS 1002 A,Dec-10-2024,14:00,180,Dec-10-2024,17:00,FH,Fixed Duration
COMM,COMS 2003 A,Dec-18-2024,14:00,120,Dec-18-2024,16:00,NN 231,Fixed Duration
COMM,COMS 2200 A,Dec-14-2024,19:00,180,Dec-14-2024,22:00,AH,Fixed Duration
COMM,COMS 2501 A,Dec-19-2024,19:00,180,Dec-19-2024,22:00,FH,Fixed Duration
COMM,COMS 2600 A,Dec-12-2024,14:00,180,Dec-12-2024,17:00,AT 301,Fixed Duration
COMM,COMS 3002 A,Dec-16-2024,14:00,120,Dec-16-2024,16:00,FH,Fixed Duration
COMM,COMS 3100 A,Dec-13-2024,09:00,180,Dec-13-2024,12:00,NN 231,Fixed Duration
COMM,COMS 3109 A,Dec-11-2024,09:00,120,Dec-11-2024,11:00,FH,Fixed Duration
COMM,COMS 5101 A,Dec-20-2024,14:00,180,Dec-20-2024,17:00,TB 202,Fixed Duration
COMP,COMP 1001 A,Dec-11-2024,09:00,120,Dec-11-2024,11:00,AT 101,Fixed Duration
COMP,COMP 1005 A,Dec-17-2024,14:00,120,Dec-17-2024,16:00,FH,Fixed Duration
COMP,COMP 1005 C,Dec-17-2024,14:00,120,Dec-17-2024,16:00,FH,Fixed Duration
COMP,COMP 1005 D,Dec-17-2024,14:00,120,Dec-17-2024,16:00,FH,Fixed Duration
